Date,Value
2014-03-11,2.803
2014-03-10,2.792
2014-03-07,2.804
2014-03-06,2.788
2014-03-05,2.772
2014-03-04,2.816
2014-03-03,2.864
2014-02-28,2.825
2014-02-27,2.794
2014-02-26,2.829
2014-02-25,2.832
2014-02-24,2.873
2014-02-21,2.87
2014-02-20,2.903
2014-02-19,2.864
2014-02-18,2.881
2014-02-14,2.838
2014-02-13,2.812
2014-02-12,2.796
2014-02-11,2.79
2014-02-10,2.753
2014-02-07,2.784
2014-02-06,2.718
2014-02-05,2.669
2014-02-04,2.641
2014-02-03,2.643
2014-01-31,2.663
2014-01-30,2.705
2014-01-29,2.685
2014-01-28,2.661
2014-01-27,2.665
2014-01-24,2.694
2014-01-23,2.69
2014-01-22,2.706
2014-01-21,2.659
2014-01-17,2.652
2014-01-16,2.608
2014-01-15,2.639
2014-01-14,2.636
2014-01-13,2.643
2014-01-10,2.693
2014-01-09,2.667
2014-01-08,2.684
2014-01-07,2.704
2014-01-06,2.678
2014-01-03,2.671
2014-01-02,2.718
2013-12-31,2.812
2013-12-30,2.813
2013-12-27,2.832
2013-12-26,2.836
2013-12-24,2.831
2013-12-23,2.792
2013-12-20,2.805
2013-12-19,2.759
2013-12-18,2.704
2013-12-17,2.653
2013-12-16,2.65
2013-12-13,2.639
2013-12-12,2.643
2013-12-11,2.67
2013-12-10,2.698
2013-12-09,2.677
2013-12-06,2.74
2013-12-05,2.727
2013-12-04,2.725
2013-12-03,2.746
2013-12-02,2.698
2013-11-29,2.678
2013-11-27,2.726
2013-11-26,2.71
2013-11-25,2.714
2013-11-22,2.761
2013-11-21,2.764
2013-11-20,2.694
2013-11-19,2.7
2013-11-18,2.705
2013-11-15,2.727
2013-11-14,2.748
2013-11-13,2.687
2013-11-12,2.653
2013-11-11,2.66
2013-11-08,2.609
2013-11-07,2.56
2013-11-06,2.604
2013-11-05,2.578
2013-11-04,2.587
2013-11-01,2.604
2013-10-31,2.64
2013-10-30,2.692
2013-10-29,2.655
2013-10-28,2.68
2013-10-25,2.651
2013-10-24,2.638
2013-10-23,2.61
2013-10-22,2.676
2013-10-21,2.711
2013-10-18,2.721
2013-10-17,2.688
2013-10-16,2.754
2013-10-15,2.712
2013-10-14,2.735
2013-10-11,2.731
2013-10-10,2.748
2013-10-09,2.676
2013-10-08,2.692
2013-10-07,2.683
2013-10-04,2.659
2013-10-03,2.679
2013-10-02,2.681
2013-10-01,2.649
2013-09-30,2.68
2013-09-27,2.715
2013-09-26,2.752
2013-09-25,2.712
2013-09-24,2.705
2013-09-23,2.675
2013-09-20,2.741
2013-09-19,2.785
2013-09-18,2.813
2013-09-17,2.723
2013-09-16,2.785
2013-09-13,2.831
2013-09-12,2.837
2013-09-11,2.789
2013-09-10,2.808
2013-09-09,2.855
2013-09-06,2.917
2013-09-05,2.92
2013-09-04,2.948
2013-09-03,2.945
2013-08-30,2.992
2013-08-29,2.866
2013-08-28,3.073
2013-08-27,3.027
2013-08-26,2.955
2013-08-23,3.0
2013-08-22,2.973
2013-08-21,2.942
2013-08-20,2.915
2013-08-19,2.905
2013-08-16,2.934
2013-08-15,2.956
2013-08-14,2.954
2013-08-13,2.92
2013-08-12,2.874
2013-08-09,2.88
2013-08-08,2.84
2013-08-07,2.836
2013-08-06,2.871
2013-08-05,2.905
2013-08-02,2.943
2013-08-01,2.965
2013-07-31,2.996
2013-07-30,2.958
2013-07-29,2.953
2013-07-26,2.971
2013-07-25,2.929
2013-07-24,2.92
2013-07-23,2.925
2013-07-22,2.931
2013-07-19,3.007
2013-07-18,3.012
2013-07-17,2.996
2013-07-16,3.025
2013-07-15,3.034
2013-07-12,3.063
2013-07-11,2.977
2013-07-10,2.942
2013-07-09,2.875
2013-07-08,2.818
2013-07-05,2.825
2013-07-03,2.776
2013-07-02,2.717
2013-07-01,2.668
2013-06-28,2.649
2013-06-27,2.651
2013-06-26,2.66
2013-06-25,2.657
2013-06-24,2.656
2013-06-21,2.697
2013-06-20,2.708
2013-06-19,2.806
2013-06-18,2.822
2013-06-17,2.811
2013-06-14,2.845
2013-06-13,2.811
2013-06-12,2.756
2013-06-11,2.751
2013-06-10,2.766
2013-06-07,2.794
2013-06-06,2.77
2013-06-05,2.746
2013-06-04,2.742
2013-06-03,2.707
2013-05-31,2.663
2013-05-30,2.721
2013-05-29,2.7
2013-05-28,2.746
2013-05-24,2.713
2013-05-23,2.732
2013-05-22,2.723
2013-05-21,2.748
2013-05-20,2.817
2013-05-17,2.81
2013-05-16,2.793
2013-05-15,2.785
2013-05-14,2.753
2013-05-13,2.742
2013-05-10,2.764
2013-05-09,2.789
2013-05-08,2.772
2013-05-07,2.745
2013-05-06,2.767
2013-05-03,2.728
2013-05-02,2.7
2013-05-01,2.616
2013-04-30,2.714
2013-04-29,2.735
2013-04-26,2.741
2013-04-25,2.716
2013-04-24,2.665
2013-04-23,2.638
2013-04-22,2.695
2013-04-19,2.716
2013-04-18,2.69
2013-04-17,2.659
2013-04-16,2.721
